AppID,Total_Reviews,Error_Keyword_Reviews,Error_Keyword_Percentage
1262350,100,8,8.0
1263850,2,0,0.0
1266680,1,0,0.0
1274570,97,6,6.185567010309279
1277400,38,1,2.631578947368421
1282730,48,3,6.25
1284210,4,0,0.0
1286680,99,7,7.07070707070707
1286830,6,0,0.0
1289310,100,6,6.0
1290000,100,1,1.0
1293830,100,15,15.0
1296830,9,2,22.22222222222222
1301720,2,1,50.0
1304930,100,4,4.0
1313140,100,4,4.0
1313860,5,0,0.0
1326470,100,19,19.0
1332010,100,8,8.0
1343370,7,0,0.0
1343400,1,1,100.0
1361210,99,14,14.14141414141414
1363080,100,31,31.0
1364780,100,11,11.0
1366540,100,5,5.0
1366800,100,6,6.0
1371980,99,27,27.27272727272727
1372880,2,0,0.0
1380400,8,0,0.0
1384160,99,11,11.11111111111111
1388770,100,7,7.000000000000001
1404210,100,16,16.0
1407200,6,1,16.666666666666664
1426210,100,11,11.0
1446780,100,13,13.0
1454400,100,5,5.0
1466640,100,3,3.0
1466860,100,12,12.0
1468810,21,2,9.523809523809524
1475810,37,3,8.108108108108109
1483870,2,0,0.0
1506830,28,1,3.571428571428571
1509960,66,0,0.0
1515950,3,0,0.0
1517290,100,19,19.0
1522820,23,1,4.3478260869565215
1533390,100,10,10.0
1551360,100,20,20.0
1557740,100,7,7.000000000000001
1562430,100,3,3.0
1569040,5,0,0.0
1604030,100,7,7.000000000000001
1610430,1,0,0.0
1621690,100,13,13.0
1623730,100,16,16.0
1627140,4,0,0.0
1637320,100,5,5.0
1676130,10,0,0.0
1677740,4,0,0.0
1687950,100,10,10.0
1721470,100,20,20.0
1755910,3,0,0.0
1790600,99,19,19.19191919191919
1794680,100,4,4.0
1811260,33,0,0.0
1817070,100,10,10.0
1818750,11,1,9.090909090909092
1832640,6,0,0.0
1846380,100,29,28.999999999999996
1868140,100,6,6.0
1904540,7,0,0.0
1929610,99,14,14.14141414141414
1934680,100,18,18.0
1942280,100,4,4.0
1943950,100,14,14.000000000000002
1966720,100,8,8.0
1987080,35,1,2.857142857142857
2096600,76,7,9.210526315789473
2183900,100,17,17.0
2186680,100,28,28.000000000000004
2195250,100,13,13.0
2231450,100,6,6.0
2322010,100,14,14.000000000000002
2322560,10,3,30.0
2379780,100,6,6.0
2399830,100,37,37.0
2479810,99,22,22.22222222222222
2567870,100,12,12.0
2670630,100,23,23.0
2694490,96,37,38.54166666666667
2835570,100,5,5.0
2881650,100,11,11.0
3070070,100,12,12.0
3097560,100,29,28.999999999999996
3146520,100,11,11.0
